participant;Gracz_czy_niegracz:1;Typologia1:1;Typologia1:2;Typologia1:3;Typologia1:4;Typologia1:5;Typologia1:6;Typologia1:7;Typologia1:8;Typologia1:9;Typologia1:10;Typologia1:11;Typologia1:12;Typologia1:13;Typologia1:14;Typologia1:15;Typologia1:16;Typologia1:17;Typologia1:18;experyment1:1;experyment2:1;experyment3:1;TIME_start;TIME_end;TIME_total
s.1c92b90b-5d74-47fe-81fb-3b2c227cc95d.txt;4;;;;;;;;;;;;;;;;;;;;;;2022-01-02-19-16;;
s.c343c9b2-2449-4640-a5b1-0220f35d3765.txt;2;;;;;;;;;;;;;;;;;;;;;;2021-12-01-17-10;;
s.33d76e84-be14-41d6-aa67-6494b08f6281.txt;3;;;;;;;;;;;;;;;;;;;;;;2022-01-06-14-35;;
s.2cdec3e6-c901-4e89-bc0e-76ee963cba8a.txt;5;6;3;1;1;2;1;2;7;1;2;7;7;6;4;6;7;3;6;Stroop_Task.2022-01-06-1503.data.2cdec3e6-c901-4e89-bc0e-76ee963cba8a.txt;Nback_poprawione.2022-01-06-1507.data.2cdec3e6-c901-4e89-bc0e-76ee963cba8a.txt;Attention.2022-01-06-1513.data.2cdec3e6-c901-4e89-bc0e-76ee963cba8a.txt;2022-01-06-14-41;2022-01-06-15-13;32
s.57e5cd27-8af8-4f3a-94bd-4d10763d75a8.txt;3;;;;;;;;;;;;;;;;;;;Stroop_Task.2022-01-02-1642.data.57e5cd27-8af8-4f3a-94bd-4d10763d75a8.txt;Nback_poprawione.2022-01-02-1646.data.57e5cd27-8af8-4f3a-94bd-4d10763d75a8.txt;Attention.2022-01-02-1651.data.57e5cd27-8af8-4f3a-94bd-4d10763d75a8.txt;2022-01-02-16-38;2022-01-02-16-51;13
s.4d7728ba-7e18-446a-8794-4974ef0070b3.txt;5;2;7;1;1;1;7;1;4;1;1;3;4;5;2;1;7;6;4;Stroop_Task.2022-01-02-1925.data.4d7728ba-7e18-446a-8794-4974ef0070b3.txt;Nback_poprawione.2022-01-02-1928.data.4d7728ba-7e18-446a-8794-4974ef0070b3.txt;Attention.2022-01-02-1933.data.4d7728ba-7e18-446a-8794-4974ef0070b3.txt;2022-01-02-19-16;2022-01-02-19-33;17
s.4e3e7274-4561-42e1-8c93-cf6a6b67608e.txt;3;;;;;;;;;;;;;;;;;;;Stroop_Task.2022-01-07-0842.data.4e3e7274-4561-42e1-8c93-cf6a6b67608e.txt;Nback_poprawione.2022-01-07-0846.data.4e3e7274-4561-42e1-8c93-cf6a6b67608e.txt;Attention.2022-01-07-0851.data.4e3e7274-4561-42e1-8c93-cf6a6b67608e.txt;2022-01-07-08-39;2022-01-07-08-51;12
s.8286191d-e800-4dd3-b259-f0adfd02e5e6.txt;5;6;6;1;1;5;5;2;1;5;5;5;5;3;5;6;7;2;7;Stroop_Task.2022-01-02-1639.data.8286191d-e800-4dd3-b259-f0adfd02e5e6.txt;Nback_poprawione.2022-01-02-1642.data.8286191d-e800-4dd3-b259-f0adfd02e5e6.txt;Attention.2022-01-02-1647.data.8286191d-e800-4dd3-b259-f0adfd02e5e6.txt;2022-01-02-16-30;2022-01-02-16-47;17
s.59380abd-cc8a-43f7-9a9f-395933b2fce4.txt;5;2;2;2;3;4;3;2;3;5;4;6;6;7;5;6;4;1;2;Stroop_Task.2022-01-06-2008.data.59380abd-cc8a-43f7-9a9f-395933b2fce4.txt;Nback_poprawione.2022-01-06-2011.data.59380abd-cc8a-43f7-9a9f-395933b2fce4.txt;Attention.2022-01-06-2016.data.59380abd-cc8a-43f7-9a9f-395933b2fce4.txt;2022-01-06-19-57;2022-01-06-20-16;19
s.87dad05c-c472-416e-b0d7-e95da89512b3.txt;1;;;;;;;;;;;;;;;;;;;Stroop_Task.2021-11-16-2120.data.87dad05c-c472-416e-b0d7-e95da89512b3.txt;Nback_poprawione.2021-11-16-2124.data.87dad05c-c472-416e-b0d7-e95da89512b3.txt;Attention.2021-11-16-2129.data.87dad05c-c472-416e-b0d7-e95da89512b3.txt;2021-11-16-21-16;2021-11-16-21-29;13
